vid_title,vid_id,publish_date,channel_title,channel_id,category_id,duration,views,likes,comments
Painter,7nUZ3Ruj8xU,2020-10-13T04:02:02Z,YouTube Movies,UCHI4yNlX8a5BER93TbspK9Q,30,PT1H39M45S,Private,8,1
Colombia In My Arms,sFnCzCQ_NEw,2020-12-17T15:31:44Z,YouTube Movies,UC0C_xb8Eaz6uBW9o4-w1sAA,30,PT1H30M37S,Private,3,0
Jules of Light and Dark,Cj1dUzJ_2Lg,2020-05-26T04:00:02Z,YouTube Movies,UCoE2UXrrVA00Zw60TGF8mjw,30,PT1H26M18S,Private,12,2
One More Orbit,8sRCRNqoTJE,2020-10-06T04:02:02Z,YouTube Movies,UCTdK4_MieuPvexRAjelYc_A,30,PT1H14M2S,Private,9,0
The Slip Knot,vnNLVYJ-EAA,2020-07-29T09:28:47Z,Believers,UCTR4WQNGsuF-Jj7SfcA9MNA,43,PT42M14S,Private,4,0
Growing to New Heights,ftrPVFySfaA,2020-08-19T04:02:01Z,Backyard Envy,UCanOY_maWs7cj5OBs4tJCTg,43,PT43M8S,Private,0,0
Man's Best Friend,ZnNloeoFZEU,2020-01-02T23:06:40Z,YouTube Movies,UCP05ONWoOtr224uy2lUpQ9A,30,PT2H9M21S,Private,46,3
The Five Friends / A Giganto Power,jjtbZWxL6X4,2020-10-22T01:00:04Z,Gigantosaurus,UCVndPxq3B8xNIPrV3gV71aw,43,PT21M17S,Private,4,0
Musical Comedy Whore!,zL3jJG6SbF0,2020-09-02T06:34:17Z,YouTube Movies,UCp5SuJ68Ok6j7drjfZXGzxw,30,PT1H36M37S,Private,10,1
Peace in Puerto Vallarta,Ymkpys8f6EM,2020-07-20T04:00:03Z,Mexico Life,UCiQcOA4B88f59_G4AfvJ3Vw,43,PT21M43S,Private,4,4
Shooting Elizabeth,2Nw9zByn44w,2020-07-09T21:46:35Z,YouTube Movies,UCF2-pUneIWWecWkXzA394XQ,30,PT1H36M18S,Private,3,0
Between Musk and Mars,KXKN40ZH9MU,2020-09-25T09:11:23Z,VICE Versa,UCDEGLav_C5X64rX0yVUkBAA,43,PT44M11S,Private,1,0
